id,lat,lng
b301931873,40.42105257272727,-86.90543840909092
b301931875,40.41693736,-86.89514966
b301931876,40.41682544,-86.89462277999999
b301931878,40.41706593076923,-86.89394613076924
b301932454,40.42021742222223,-86.89519815555553
b301932458,40.42114092,-86.89104616
b301932707,40.41625148,-86.89455688000001
b301932783,40.42860971666667,-86.910755
b301932784,40.42893299444445,-86.91108953888889
b301932785,40.428915933333336,-86.91064445555556
b301932786,40.429146805263166,-86.91066343157895
b301932787,40.43042005,-86.91246095555556
b301932788,40.43093606000001,-86.91069548
b301932789,40.4305533,-86.91076749999999
b301932790,40.43025004,-86.91073251999998
b301932791,40.4286894,-86.90962984
b301932792,40.42908948,-86.90971316
b301932793,40.42908888,-86.90939260000002
b301932794,40.4291152,-86.9090927
b301934124,40.42912158888888,-86.91766876666668
b301934125,40.42911007857142,-86.91699764999998
b301934126,40.42901092307692,-86.91762937692307
b301934127,40.429572,-86.91764769230768
b301934128,40.42956504,-86.91745821999999
b301934830,40.426689442857146,-86.91887762857142
b301934831,40.42649229999999,-86.91883820000001
b301934833,40.427446231578955,-86.91759684210525
b301934834,40.4278421,-86.91764828000001
b301934836,40.4280666,-86.91759465714287
b301958646,40.422893306666666,-86.91467891333333
b302407517,40.420892800000004,-86.91346174
b302407520,40.42076541428571,-86.91343202857145
b302407521,40.420646579999996,-86.91351084
b302407523,40.42052698,-86.91353162
b302407525,40.4205679,-86.91312306
b302407528,40.421118899999996,-86.91347793999999
b302408071,40.42228417333334,-86.90937798666667
b302408404,40.42437055789473,-86.9066635263158
b302408405,40.424638262500004,-86.9063234375
b305920203,40.43154964285714,-86.91299237142857
b309492283,40.42637245789473,-86.9151099263158
b309492284,40.42662681666667,-86.915108175
b327303064,40.42758711071429,-86.92136423214286
b327303065,40.42775618947369,-86.92026488157896
b332361174,40.427145046666666,-86.91004042
b345144282,40.4317889,-86.91397187999999
b348048986,40.4379097,-86.89891837999998
b348048996,40.43880576,-86.89870464999998
b348048997,40.43908879285714,-86.89868992857143
b348048998,40.43859249999999,-86.89857707
b348048999,40.43858621333333,-86.89817901333332
b348049000,40.43867879999999,-86.89801067142858
b348049001,40.439041370000005,-86.89801048000001
b348049002,40.439327909999996,-86.89791401999999
b349878282,40.42974108,-86.89986768
b361463897,40.41747158333333,-86.89387058333334
b449546749,40.420281339999995,-86.89153158
b470285119,40.42675886619718,-86.91966514366199
b508846031,40.42732399285715,-86.91325184285714
b518434567,40.425854158,-86.91947099599999
b520127810,40.42115448235295,-86.91763120588236
b520127811,40.421831765,-86.91762358999999
b547104254,40.42181154,-86.89894368
b547141343,40.419430377777786,-86.89269698888887
b547374963,40.42091112727273,-86.89887900909092
b547547682,40.4383246,-86.92407228333333
b550881239,40.42218988085106,-86.91991495319148
b555857540,40.41966570857143,-86.90121362714285
b558268041,40.427419240000006,-86.90777276000001
b558271283,40.4229567,-86.89335246
b567556189,40.422315680000004,-86.89356480000001
b567556190,40.422605139999995,-86.89350478
b567556191,40.42201248181818,-86.89354102727272
b567556192,40.423230985714284,-86.8940499
b581700404,40.42661478,-86.9031562
b581739532,40.42659024,-86.90240825999999
b581739533,40.42714796,-86.90215108
b581739534,40.42712730000001,-86.90289775999999
b587540581,40.42331965,-86.91874716666666
b587549840,40.42264825555554,-86.91885045
b604071163,40.422796909677416,-86.90675543870967
b607137011,40.43019262,-86.91131882
b607137013,40.4303351,-86.91133986000001
b607137015,40.430470639999996,-86.91135466
b607137017,40.43061934,-86.91135603999999
b607137019,40.430748879999996,-86.91134969999999
b607137021,40.43090004,-86.9113644
b607137023,40.431153140000006,-86.91137868
b607137024,40.431205528571425,-86.91191088571429
b607137025,40.4310663,-86.91188188
b607137026,40.43116174,-86.91230478
b607137027,40.431198480000006,-86.91211192
b607137028,40.4311357923077,-86.9125463
b607137031,40.4315421,-86.91260472
b607137032,40.431537000000006,-86.9124732
b607137033,40.43152568000001,-86.91228686000001
